caseid,age,childrern_number,level_of_education,first_language,health,marital_status,birth_country,born_parents,unable_to_play_rent,number_of_unions,more_than_one_job,work_hours_per_week,incmc
3221,23.7,0,1,2,3,5,2,1,2,1,7,NA,5
20376,25.7,0,3,2,3,5,1,1,2,0,2,NA,6
3944,32.5,0,1,2,2,5,1,1,2,1,2,35,8
5106,28.8,2,4,2,2,5,1,1,2,2,2,60,11
4532,31.1,2,3,2,2,5,1,1,2,1,2,40,8
3436,26.9,1,2,2,3,5,1,1,2,1,2,40,9
2109,22.7,0,2,2,2,5,1,1,2,1,7,NA,4
11625,49.9,3,1,2,2,5,1,1,2,1,2,30,7
22208,29.1,0,2,2,1,5,1,1,2,0,2,42,7
11405,21.2,0,2,2,3,5,1,1,2,0,7,NA,5
13209,49.5,1,2,2,4,1,2,1,2,1,2,37.5,8
3915,18.4,0,3,2,1,5,1,1,2,0,7,NA,2
5281,48,0,4,2,1,5,1,1,2,0,2,40,8
17760,35.5,2,2,2,3,5,1,1,1,1,2,45,7
22159,23.8,0,1,3,3,5,2,1,2,1,7,NA,5
9382,65.1,2,2,2,2,3,1,1,2,2,7,NA,5
11657,71.2,3,1,2,1,3,1,1,2,3,2,45,12
20637,19.7,0,3,6,3,5,1,1,2,0,2,15,3
12230,40.5,3,1,2,1,5,1,1,2,0,2,20,NA
13834,32.3,3,2,2,3,5,1,1,2,1,7,NA,1
8135,46.4,0,2,2,2,5,1,1,2,1,2,50,8
21141,57.8,1,4,2,2,1,1,1,2,1,2,40,8
1763,70.5,3,2,2,2,4,1,1,2,1,7,NA,NA
21297,31.9,2,2,4,3,5,1,1,2,1,2,32,7
9597,52.8,0,2,2,4,5,1,1,2,0,7,NA,NA
10025,73.8,3,4,2,2,1,1,1,2,1,7,NA,6
18248,17,0,5,2,1,5,1,1,7,0,7,NA,2
500,55.8,2,2,2,3,2,1,1,2,1,2,37,7
2897,31.7,2,1,2,1,1,1,1,2,1,2,40,9
2283,80,0,1,2,3,5,1,1,2,0,7,NA,7
8956,72.1,2,4,2,3,4,1,1,2,1,7,NA,9
18436,80,4,2,2,3,4,1,1,2,1,7,NA,6
13953,55,1,2,2,1,5,1,1,2,1,2,40,9
15832,20.5,0,2,2,2,5,1,1,3,0,2,30,11
14163,39.4,2,2,2,1,1,1,1,1,1,2,40,6
5848,51.3,2,2,2,1,1,1,1,2,1,2,50,12
4194,17.1,0,5,2,3,5,1,1,7,0,7,NA,1
1384,59.8,2,1,2,3,1,1,1,2,1,2,20,9
10595,68.5,1,2,2,1,4,1,1,2,1,7,NA,6
13583,50.8,1,5,2,1,5,1,1,2,1,2,40,10
9799,60.9,3,4,2,4,1,1,1,2,1,2,20,4
20263,55.8,2,3,2,1,3,1,1,2,3,2,44,10
19608,72.3,4,1,2,2,4,1,1,2,1,7,NA,8
14517,80,7,5,2,2,4,1,1,2,2,7,NA,5
19080,21.6,0,2,2,1,5,1,1,2,0,7,NA,5
11100,48.6,1,4,2,1,5,1,1,2,3,2,42.5,6
